,Nivel de Agua,fecha
0,161.0,07/08/2023--08:03:15
1,150.0,07/08/2023--08:03:20
2,122.0,07/08/2023--08:03:25
3,190.0,07/08/2023--08:03:30
4,126.0,07/08/2023--08:03:35
5,162.0,07/08/2023--08:03:40
6,141.0,07/08/2023--08:03:45
7,106.0,07/08/2023--08:03:50
8,135.0,07/08/2023--08:03:55
9,131.0,07/08/2023--08:04:00
10,166.0,07/08/2023--08:04:05
11,149.0,07/08/2023--08:04:10
12,183.0,07/08/2023--08:04:15
13,147.0,07/08/2023--08:04:20
14,123.0,07/08/2023--08:04:25
15,127.0,07/08/2023--08:04:30
16,183.0,07/08/2023--08:04:35
17,175.0,07/08/2023--08:04:40
18,180.0,07/08/2023--08:04:45
19,157.0,07/08/2023--08:04:50
20,100.0,07/08/2023--08:04:55
21,158.0,07/08/2023--08:05:00
22,111.0,07/08/2023--08:05:05
23,175.0,07/08/2023--08:05:10
24,136.0,07/08/2023--08:05:15
25,128.0,07/08/2023--08:05:20
26,117.0,07/08/2023--08:05:25
27,100.0,07/08/2023--08:05:30
28,194.0,07/08/2023--08:05:35
29,170.0,07/08/2023--08:05:40
30,100.0,07/08/2023--08:05:45
31,162.0,07/08/2023--08:05:50
32,157.0,07/08/2023--08:05:55
33,121.0,07/08/2023--08:06:00
34,106.0,07/08/2023--08:06:05
35,123.0,07/08/2023--08:06:10
36,172.0,07/08/2023--08:06:15
37,170.0,07/08/2023--08:06:20
38,112.0,07/08/2023--08:06:26
39,71.0,07/08/2023--08:07:27
40,97.0,07/08/2023--08:07:32
41,57.0,07/08/2023--08:07:37
42,57.0,07/08/2023--08:07:42
43,73.0,07/08/2023--08:07:47
44,94.0,07/08/2023--08:07:52
45,60.0,07/08/2023--08:07:57
46,70.0,07/08/2023--08:08:02
47,66.0,07/08/2023--08:08:07
48,75.0,07/08/2023--08:08:13
49,54.0,07/08/2023--08:08:18
50,99.0,07/08/2023--08:08:23
51,87.0,07/08/2023--08:08:28
52,71.0,07/08/2023--08:08:33
53,96.0,07/08/2023--08:08:38
54,89.0,07/08/2023--08:08:43
